sent_id;language;year;period;date;word_order;sentence;has_subject;has_verb;has_object;subj_text;subj_pos;verb_text;verb_pos;obj_text;obj_pos;true_word_order;notes
0;eng;2018;Pre-ChatGPT;2018-12-04;SV_only;She ca n’t talk nice about President Bush for one second without throwing out a dig at Trump , ” said one commenter .;TRUE;TRUE;FALSE;commenter;23.0;said;21.0;;;SV_only;right prediction
0;eng;2024;Post-ChatGPT;2024-04-14;SV_only;Friends please meet for service at St Johns Church Birtley on Friday 19th April 2024 at 1.45 pm , followed by cremation at Birtley Crematorium at 2.30 pm .;TRUE;TRUE;FALSE;Friends;1.0;meet;3.0;;;SV_only;right prediction
0;eng;2019;Pre-ChatGPT;2019-02-12;SVO;Many common pollutants do not cause water to smell , taste , or look funny , so you ca n’t rely on your senses to determine safety .;TRUE;TRUE;TRUE;pollutants;3.0;cause;6.0;water;7.0;SVO;right prediction
0;eng;2018;Pre-ChatGPT;2018-06-02;SVO;The fighting has so far killed at least 200 jihadists and 35 soldiers , according to official figures .;TRUE;TRUE;TRUE;fighting;2.0;killed;6.0;jihadists;10.0;SVO;right prediction
0;eng;2018;Pre-ChatGPT;2018-08-30;SVO;We had a lot of penalties and turnovers .;TRUE;TRUE;TRUE;We;1.0;had;2.0;lot;4.0;SVO;right prediction
0;eng;2024;Post-ChatGPT;2024-11-07;INCOMPLETE;For a film like that ’s about as good as anyone could hope for . ”;FALSE;FALSE;FALSE;;;;;;;INCOMPLETE;right prediction
0;eng;2020;Pre-ChatGPT;2020-12-18;SVO;The report sets out 17 recommendations to improve budgeting , and while they are aimed at the civil servants involved in preparing the budgets , Winspear had a message for the politicians too .;TRUE;TRUE;TRUE;report;2.0;sets;3.0;recommendations;6.0;SVO;right prediction
0;eng;2018;Pre-ChatGPT;2018-02-24;SVO;The shop only uses local dairy and flavors available at the farms in Homestead .;TRUE;TRUE;TRUE;shop;2.0;uses;4.0;dairy;6.0;SVO;right prediction
0;eng;2018;Pre-ChatGPT;2018-10-03;INCOMPLETE;“ With today ’s busy lifestyle fast food is an easy option that people choose . ”;FALSE;FALSE;FALSE;;;;;;;OSV;wrong prediction
0;eng;2020;Pre-ChatGPT;2020-04-28;SV_only;Some of those business leaders from companies including CVS , Walmart , Walgreens and others , later spoke at a Rose Garden news conference to unveil the plan , pledging to increase development and delivery of test kits and equipment .;TRUE;TRUE;FALSE;Some;1.0;spoke;18.0;;;SVO;wrong prediction
0;eng;2019;Pre-ChatGPT;2019-05-14;INCOMPLETE;That ’s like a pastor saying he ’s collecting offering for the church , but spending it on himself .;FALSE;FALSE;FALSE;;;;;;;SVO;wrong prediction
