language	year	period	date	sentence
german	2021	Pre-ChatGPT	2021-12-29	Ab 12 Uhr wird es durchgehend bedeckt und es regnet vereinzelt leicht, im Verlauf wird es trocken.
german	2021	Pre-ChatGPT	2021-01-25	Ab 16 Profis im Kader muss gespielt werden.
german	2021	Pre-ChatGPT	2021-05-11	Ab 1934 verboten die Nazis zum Teil Studentenverbindungen, da sie sich ihrer Ideologie widersetzten.
german	2021	Pre-ChatGPT	2021-06-16	Ab 1981 studierte er Orgel und Komposition, dazu Kunst- und Theaterwissenschaft in Wien, brach das Studium aber zugunsten des Berufs als freier Schriftsteller ab.
german	2021	Pre-ChatGPT	2021-02-24	Ab 20.30 Uhr meldet sich Moderator Alex Schlüter, der als Experten an seiner Seite hat.
german	2021	Pre-ChatGPT	2021-08-16	Abbildung 5: Längsschnitt mit Schwerpunkt auf dem unteren Teil des modellierten Minenhorizonts, der die Lage ausgewählter historischer Untersuchungsergebnisse und Bohrlochspuren zeigt.
german	2021	Pre-ChatGPT	2021-04-30	Ab dem 20. Mai tritt in Deutschland eine neue Richtlinie in Kraft, die Kinderspielzeug noch sicherer machen soll.
german	2021	Pre-ChatGPT	2021-12-13	Ab dem 25. Monat zahlst du nur noch den Vertrag und für das Smartphone selbst zahlst du lediglich 1 Euro an Anzahlung.
german	2021	Pre-ChatGPT	2021-01-02	Ab dem 2. Januar 2021 wird Paris St. Germain von Mauricio Pochettino trainiert - dort war der Argentinier schon vor 20 Jahren.
german	2021	Pre-ChatGPT	2021-09-20	Ab dem 30. September läuft Daniel Craigs finaler Bond-Film Keine Zeit zu sterben dann bei uns im Kino.
german	2021	Pre-ChatGPT	2021-06-18	Ab dem Wochenende gibt es ein buntes künstlerisches Programm in Hochzoll im Augsburger Osten.
german	2021	Pre-ChatGPT	2021-03-06	Ab der Einfahrt in den Steilhang hatte ich ein geniales Gefühl.
german	2021	Pre-ChatGPT	2021-09-21	Ab diesem Sonntag reicht der gelbe Impfausweis nicht mehr als Nachweis, um in ein 2G-Lokal zu kommen.
german	2021	Pre-ChatGPT	2021-04-13	Ab einer 100er-Inzidenz gilt regional nach einer bestimmten Frist automatisch eine Ausgangssperre von 21.00 Uhr bis 05.00 Uhr Früh.
german	2021	Pre-ChatGPT	2021-06-19	Ab einer Jahres-Teuerung von zwei Prozent könnten die Zinsen steigen.
