language	year	period	date	sentence
russian	2024	Post-ChatGPT	2024-02-03	"30+"" он отметил, что после закона о мобилизации и запрете на выезд мужчинам у него был стресс."
russian	2024	Post-ChatGPT	2024-02-05	«5 языков любви» — это выставка, основанная на теории Гэри Чепмена — американского писателя и психолога.
russian	2024	Post-ChatGPT	2024-02-02	Al Hadath сообщает, что согласно предварительным данным, жертвами ударов по территории провинции Дейр-эз-Зор стали 6 человек.
russian	2024	Post-ChatGPT	2024-10-31	"Apple решила так в 2016 году, когда установила минимум 8 ГБ для 13-дюймового MacBook Air и прекратила выпуск 11"" модели с 4 ГБ через несколько месяцев."
russian	2024	Post-ChatGPT	2024-08-30	Apple утверждает, что сбор информации осуществляется с соблюдением этических норм, исключая персональные данные и используя только лицензированные материалы и общедоступные данные, полученные от сканера AppleBot.
russian	2024	Post-ChatGPT	2024-10-11	"Az, об этом в Telegram-канале сообщил ведущий специалист центра погоды ""Фобос"" Михаил Леус."
russian	2024	Post-ChatGPT	2024-10-21	Az со ссылкой на AYNA, были созданы пять новых платных парковок на улицах Исмайыл бека Гутгашинлы и Гурбана Халилова.
russian	2024	Post-ChatGPT	2024-04-13	CNN указывает, что неясно, готовится ли Иран нанести удар со своей территории в рамках первичной атаки, или Тегеран делает это, чтобы попытаться сдержать Израиль или США от возможного контрудара по своей территории.
russian	2024	Post-ChatGPT	2024-09-29	CyberCorp: Ruiner у нас дома, ещё и от наших разработчиков, это конечно здорово и летит в вишлист, но ранний доступ смущает.
russian	2024	Post-ChatGPT	2024-03-23	Cообщается, что задержанный — Файзов Мухаммадсобир Зокирчонович 2004 года рождения.
russian	2024	Post-ChatGPT	2024-09-12	Digi24 отмечает, что летчики из Украины будут пилотировать учебные F-16, предоставленные Румынии Нидерландами.
russian	2024	Post-ChatGPT	2024-02-14	Eesti Laul представит уникальные музыкальные номера, объединяющие великие имена эстонской музыки прошлого и настоящего.
russian	2024	Post-ChatGPT	2024-05-28	ERR сообщил о том, что нынешний директор школы Нина Сытник выйдет на пенсию в конце этого учебного года.
russian	2024	Post-ChatGPT	2024-12-27	Event-агентство Eventum Premo подготовило подборку самых ожидаемых мероприятий 2025 года.
russian	2024	Post-ChatGPT	2024-06-20	FPV-дроном является больше исключением, чем закономерностью, ведь в таких случаях важно мастерство и удача оператора.
russian	2024	Post-ChatGPT	2024-09-03	IBA прекрасно понимает, что национальные олимпийские комитеты, находясь под давлением МОК, проводят политически мотивированные кампании в своих странах, оказывая давление на национальные федерации с целью выхода из IBA.
russian	2024	Post-ChatGPT	2024-11-28	İdman.biz рассмотрел статистические показатели нашей команды в континентальных соревнованиях накануне матча 5-го тура.
russian	2024	Post-ChatGPT	2024-04-14	"İdman.biz сообщает, что об этом заявил Алиаббас Рзазаде (57 кг), борец вольного стиля сборной Азербайджана, который был гостем программы ""İdman Bizdə""."
russian	2024	Post-ChatGPT	2024-01-17	"Info отметили, что часть команды нарушила принципы и ценности проекта, поэтому следствием будут ""жесткие кадровые изменения""."
russian	2024	Post-ChatGPT	2024-12-19	Kinder Шоколад — классические батончики с молочным шоколадом, которые тают во рту.
russian	2024	Post-ChatGPT	2024-09-05	Kiusamisvaba riik не наступит само по себе, это методичная работа и отстаивание прав – не только своих, которые касаются только тебя самого, а прав как абсолюта.
russian	2024	Post-ChatGPT	2024-01-20	LIVE» и занимались, отмечают «Репортеры без границ», расследованиями, связанными с коррупцией кыргызских элит, в частности президентского окружения.
russian	2024	Post-ChatGPT	2024-02-12	MamaRika надела белое свадебное платье с короткими вырезами, а Сергей Середа выбрал бежевые брюки и жилетку в полоску.
russian	2024	Post-ChatGPT	2024-11-18	Microsoft такой уже сделала %) Но указатели с GC имеют отдельный синтаксис, то есть старый код автоматически не получит GC.
russian	2024	Post-ChatGPT	2024-08-05	Mitsubishi сообщил о том, что кроссовер получит новые 20-дюймовые диски.
russian	2024	Post-ChatGPT	2024-07-30	Monster Hunter Stories, где сделан больший упор на сюжет, чем в основной серии.
russian	2024	Post-ChatGPT	2024-11-18	Newsweek добавляет, что Трамп может даже задействовать военных для депортации преступников, незаконно перешедших через американскую границу.
russian	2024	Post-ChatGPT	2024-04-22	NYT ранее писала, что Кузьминов в Испании вел «нескромную жизнь» и связывался с живущей в России бывшей девушкой, а соседи заявляли, что он планировал перевезти в страну свою мать.
russian	2024	Post-ChatGPT	2024-09-17	Oб этом в ходе парламентского брифинга заявил руководитель фракции «Армения» Сейран Оганян, отвечая на вопрос, существует ли на данный момент риск эскалации.
russian	2024	Post-ChatGPT	2024-09-10	Pepsi же, в свою очередь, позиционируется как бренд для молодёжи, поэтому может позволить себе более дерзкую и агрессивную стратегию коммуникаций.
russian	2024	Post-ChatGPT	2024-05-22	RBS-56 - это противотанковая ракета, разработанная шведской фирмой Bofors, которая оснащена 25-фунтовой боеголовкой, которая, при срабатывании датчиков на нижней стороне ракеты, взрывается вниз, а не вперед.
russian	2024	Post-ChatGPT	2024-02-06	Reuters: Казахстан удвоил экспорт нефти в обход российских портов.
russian	2024	Post-ChatGPT	2024-04-02	Ru» экономист, директор по коммуникациям BitRiver Андрей Лобода.
russian	2024	Post-ChatGPT	2024-04-12	Skoda называет рынок Казахстана крайне перспективным, несмотря на то что в 2021 году европейская компания решила свернуть производство в стране.
russian	2024	Post-ChatGPT	2024-08-23	Space, комиссия за транзакции с низким приоритетом составила около 62 долларов, за транзакции со средним приоритетом — до 79 долларов, а за транзакции с высоким приоритетом — колоссальные 97 долларов.
russian	2024	Post-ChatGPT	2024-05-04	SSJ100 вылетел из Москвы 5 мая 2019 года в Мурманск, однако вскоре вернулся после попадания молнии, при посадке самолет загорелся.
russian	2024	Post-ChatGPT	2024-03-12	Subpixel rendering не завезли, продолжайте писать это для себя.
russian	2024	Post-ChatGPT	2024-04-08	Taiwan Semiconductor Manufacturing Co. Ltd. является крупнейшей в мире монопрофильной независимой компанией по производству полупроводников.
russian	2024	Post-ChatGPT	2024-02-22	Taurus летит на очень низких высотах и следует рельефу местности, поэтому способен проходить через плотную защиту ПВО.
russian	2024	Post-ChatGPT	2024-01-15	UKMTO рекомендует судам проявлять бдительность при навигации в этом районе», - говорится в сообщении.
russian	2024	Post-ChatGPT	2024-11-20	Win98 в стародавние времена был интересн только хомячкам, игори гонять.
russian	2024	Post-ChatGPT	2024-07-24	YouTube-обозреватель с канала This is Tech TodayGalaxy Ring и выяснил, что умное кольцо совместимо с любым смартфоном на базе Android.
russian	2024	Post-ChatGPT	2024-08-23	А 14 сентября состоится официальное открытие 34-го театрального сезона с премьерой комедии «Весельчаки» (16+) по пьесе Нила Саймона в постановке Бориса Гуревича, известного по своим работам в Омском ТЮЗе и театре кукол «Арлекин».
russian	2024	Post-ChatGPT	2024-09-23	А.Аршакян с удовлетворением подчеркнул, что сотрудничество между парламентами имеет прочную основу, двусторонние отношения отражаются в частых контактах как председателей, так и групп дружбы.
russian	2024	Post-ChatGPT	2024-04-11	А в 2003 году был рукоположен и направлен настоятелем на Столбцовщину.
russian	2024	Post-ChatGPT	2024-07-23	А в аптечные пункты гипогликемические препараты стали поступать в конце предыдущей недели и продолжают поступать в настоящее время.
russian	2024	Post-ChatGPT	2024-03-18	Авария произошла 18 марта около 10:30 на пересечении 32-го километра автодороги A-380B и 6-го километра автодороги 4Р-69, проходящих через Каганский район.
russian	2024	Post-ChatGPT	2024-06-11	Авария произошла в Заводском районе города на улице Чернышевской.
russian	2024	Post-ChatGPT	2024-02-19	Авдеевка на карте боевых действий / скриншот с understandingwar.
