sent_id,language,year,period,date,word_order,sentence,has_subject,has_verb,has_object,subj_text,subj_pos,verb_text,verb_pos,obj_text,obj_pos,true_word_order,notes
0,eng,2018,Pre-ChatGPT,2018-12-04,SV_only,"She ca n’t talk nice about President Bush for one second without throwing out a dig at Trump , ” said one commenter .",True,True,False,commenter,23,said,21,,,SVO,wrong prediction
0,eng,2024,Post-ChatGPT,2024-04-14,SV_only,"Friends please meet for service at St Johns Church Birtley on Friday 19th April 2024 at 1.45 pm , followed by cremation at Birtley Crematorium at 2.30 pm .",True,True,False,Friends,1,meet,3,,,SVO,wrong prediction
0,eng,2019,Pre-ChatGPT,2019-02-12,SVO,"Many common pollutants do not cause water to smell , taste , or look funny , so you ca n’t rely on your senses to determine safety .",True,True,True,pollutants,3,cause,6,water,7,SVO,right prediction
0,eng,2018,Pre-ChatGPT,2018-06-02,SVO,"The fighting has so far killed at least 200 jihadists and 35 soldiers , according to official figures .",True,True,True,fighting,2,killed,6,jihadists,10,SVO,right prediction
0,eng,2018,Pre-ChatGPT,2018-08-30,SVO,We had a lot of penalties and turnovers .,True,True,True,We,1,had,2,lot,4,SVO,right prediction
0,eng,2024,Post-ChatGPT,2024-11-07,INCOMPLETE,For a film like that ’s about as good as anyone could hope for . ”,False,False,False,,,,,,,INCOMPLETE,right prediction
0,eng,2020,Pre-ChatGPT,2020-12-18,SVO,"The report sets out 17 recommendations to improve budgeting , and while they are aimed at the civil servants involved in preparing the budgets , Winspear had a message for the politicians too .",True,True,True,report,2,sets,3,recommendations,6,SVO,right prediction
0,eng,2018,Pre-ChatGPT,2018-02-24,SVO,The shop only uses local dairy and flavors available at the farms in Homestead .,True,True,True,shop,2,uses,4,dairy,6,SVO,right prediction
0,eng,2018,Pre-ChatGPT,2018-10-03,INCOMPLETE,“ With today ’s busy lifestyle fast food is an easy option that people choose . ”,False,False,False,,,,,,,OSV,wrong prediction
0,eng,2020,Pre-ChatGPT,2020-04-28,SV_only,"Some of those business leaders from companies including CVS , Walmart , Walgreens and others , later spoke at a Rose Garden news conference to unveil the plan , pledging to increase development and delivery of test kits and equipment .",True,True,False,Some,1,spoke,18,,,SVO,wrong prediction
0,eng,2019,Pre-ChatGPT,2019-05-14,INCOMPLETE,"That ’s like a pastor saying he ’s collecting offering for the church , but spending it on himself .",False,False,False,,,,,,,SVO,wrong prediction
0,eng,2019,Pre-ChatGPT,2019-11-18,SV_only,"It is also as if you have to make a covenant between you and the people , ” the JLP leader added .",True,True,False,leader,21,added,22,,,SVO,wrong prediction
0,eng,2023,Post-ChatGPT,2023-10-28,SVO,The application features live interactive sessions with the doctor on appointment and to start with it is available in Malayalam with English subtitle and later in other Indian languages too .,True,True,True,application,2,features,3,sessions,6,SVO,right prediction
0,eng,2024,Post-ChatGPT,2024-11-18,SV_only,Labour activists say the cut is being raised on the doorsteps and was partly to blame for local by - election defeats in Edinburgh and Dundee .,True,True,False,activists,2,say,3,,,SVO,wrong prediction
0,eng,2018,Pre-ChatGPT,2018-05-11,SVO,Trade puts an end to war because of the vested interest in mutual prosperity .,True,True,True,Trade,1,puts,2,end,4,SVO,right prediction
0,eng,2020,Pre-ChatGPT,2020-02-17,SVO,"With the decade coming to an end , app store intelligence firm App Annie has released its Decade in Review analysis .",True,True,True,firm,12,released,16,analysis,21,SVO,right prediction
0,eng,2023,Post-ChatGPT,2023-01-09,SV_only,But it can also be viewed as an opportunity due to panic selling - which I believe happened in a number of PIMCO 's muni CEFs .,True,True,False,it,2,viewed,6,,,SVO,wrong prediction
0,eng,2024,Post-ChatGPT,2024-06-27,INCOMPLETE,One of the candidates is incumbent MP Zarah Sultana who was elected in 2019 .,False,False,False,,,,,,,SVO,wrong prediction
0,eng,2018,Pre-ChatGPT,2018-11-03,SVO,"Last year , Srinagar received its first snowfall of the season in December .",True,True,True,Srinagar,4,received,5,snowfall,8,SVO,right prediction
0,eng,2023,Post-ChatGPT,2023-03-24,SVO,"Cowen lifted their price target on shares of Cisco Systems from $ 61.00 to $ 64.00 and gave the company an “ outperform ” rating in a report on Thursday , February 16th .",True,True,True,Cowen,1,lifted,2,target,5,SVO,right prediction
0,eng,2023,Post-ChatGPT,2023-03-04,SV_only,Over 100 people showed up for a gathering on the University of Winnipeg campus Friday to oppose a lecture by a professor they worried would perpetuate transphobic views .,True,True,False,people,3,showed,4,,,SVO,wrong prediction
0,eng,2018,Pre-ChatGPT,2018-05-16,SVO,"In announcing the plan Tuesday , Mayor Rahm Emanuel acknowledged significant disparities in the quality of school facilities .",True,True,True,Mayor,7,acknowledged,10,disparities,12,SVO,right prediction
0,eng,2020,Pre-ChatGPT,2020-10-13,SVO,"According to police , White inserted himself into a dangerous situation , but his family said he ’s a political prisoner in his own state .",True,True,True,White,5,inserted,6,himself,7,SVO,right prediction
0,eng,2019,Pre-ChatGPT,2019-06-04,SVO,"Rising sea levels would cause people to abandon parts of Mumbai , Jakarta , Guangzhou , Hong Kong , Ho Chi Minh City , Shanghai , Bangkok and Manila , among other cities .",True,True,True,levels,3,cause,5,people,6,SVO,right prediction
0,eng,2024,Post-ChatGPT,2024-09-19,SV_only,There is such a rapport that the camera ’s presence does n’t hold as much weight .,True,True,False,rapport,5,is,2,,,SVO,wrong prediction
0,eng,2023,Post-ChatGPT,2023-12-24,SVO,"But the hosts still took the lead , in the first minute of the second half .",True,True,True,hosts,3,took,5,lead,7,SVO,right prediction
0,eng,2020,Pre-ChatGPT,2020-02-24,SV_only,BOSTON ( AP / CBS ) — Civil rights groups are asking police to pursue hate crime charges against two people accused of attacking a woman and her daughter who were speaking Spanish in a strongly Latino neighborhood in Boston .,True,True,False,groups,10,asking,12,,,SVO,wrong prediction
0,eng,2024,Post-ChatGPT,2024-03-12,SV_only,Drivers found to be speeding are photographed alongside the speed and distance they are traveling .,True,True,False,Drivers,1,photographed,7,,,SVO,wrong prediction
0,eng,2019,Pre-ChatGPT,2019-06-03,INCOMPLETE,"Of 529 men with a low amount of disease on imaging scans , 90 % taking enzalutamide were alive compared with 82 % taking another NSAA .",False,False,False,,,,,,,OSV,wrong prediction
0,eng,2023,Post-ChatGPT,2023-12-12,SV_only,"As a result , the tuition that students pay to attend the CSCUs has steadily risen , while the programs and services available to them and their community college peers has been held together by a faculty and staff who are now stretched to their limits .",True,True,False,tuition,6,risen,16,,,SV_only,right prediction
